연도,월,분기,청코드,내외항구분,수출입구분명,시설코드,시설명,부두구분명,아외국구분,적공구분,컨테이너수(10피트),컨테이너수(20피트),컨테이너수(40피트),컨테이너수(기타),전체개수,전체물동량
2024,03,1,신항,외항,수입,6,신항 W 정박지,일반부두,외국선,적컨,0,3,8,0,11,19
2024,04,2,신항,외항,수입,6,신항 W 정박지,일반부두,아국선,적컨,0,9,3,0,12,15
2024,11,4,신항,외항,수입환적,7,신항 U 정박지,일반부두,아국선,공컨,0,1,0,0,1,1
2024,11,4,신항,외항,수입,7,신항 U 정박지,일반부두,아국선,공컨,0,57,2,0,59,61
2024,11,4,신항,외항,수입환적,7,신항 U 정박지,일반부두,아국선,적컨,0,31,100,0,131,231
2024,11,4,신항,외항,수입,7,신항 U 정박지,일반부두,아국선,적컨,0,6,15,0,21,36
2024,03,1,신항,외항,수출환적,8,신항3부두,컨테이너부두,외국선,공컨,0,860,5547,145,6552,12280.25
2024,03,1,신항,외항,수입환적,8,신항3부두,컨테이너부두,외국선,공컨,0,228,6675,251,7154,14142.75
2024,03,1,신항,외항,수출,8,신항3부두,컨테이너부두,외국선,공컨,0,736,3974,13,4723,8713.25
2024,03,1,신항,외항,수입,8,신항3부두,컨테이너부두,외국선,공컨,0,6312,8844,59,15215,24132.75
2024,04,2,신항,외항,수출환적,8,신항3부두,컨테이너부두,외국선,공컨,0,907,2522,163,3592,6317.75
2024,04,2,신항,외항,수입환적,8,신항3부두,컨테이너부두,외국선,공컨,0,556,1366,97,2019,3506.25
2024,04,2,신항,외항,수출,8,신항3부두,컨테이너부두,외국선,공컨,0,938,3537,0,4475,8012
2024,04,2,신항,외항,수입,8,신항3부두,컨테이너부두,외국선,공컨,0,4396,6829,101,11326,18281.25
2024,08,3,신항,외항,수출환적,8,신항3부두,컨테이너부두,외국선,공컨,0,935,1239,78,2252,3588.5
2024,08,3,신항,외항,수입환적,8,신항3부두,컨테이너부두,외국선,공컨,0,663,2065,145,2873,5119.25
2024,08,3,신항,외항,수출,8,신항3부두,컨테이너부두,외국선,공컨,0,538,5206,123,5867,11226.75
2024,08,3,신항,외항,수입,8,신항3부두,컨테이너부두,외국선,공컨,0,4236,5332,6,9574,14913.5
2024,10,4,신항,외항,수출환적,8,신항3부두,컨테이너부두,외국선,공컨,0,237,2305,41,2583,4939.25
2024,10,4,신항,외항,수입환적,8,신항3부두,컨테이너부두,외국선,공컨,0,238,3411,112,3761,7312
2024,10,4,신항,외항,수출,8,신항3부두,컨테이너부두,외국선,공컨,0,1964,1789,60,3813,5677
2024,10,4,신항,외항,수입,8,신항3부두,컨테이너부두,외국선,공컨,0,2430,6856,15,9301,16175.75
2024,02,1,신항,외항,수출환적,8,신항3부두,컨테이너부두,외국선,공컨,0,806,1392,120,2318,3860
2024,02,1,신항,외항,수입환적,8,신항3부두,컨테이너부두,외국선,공컨,0,2191,1495,290,3976,5833.5
2024,02,1,신항,외항,수출,8,신항3부두,컨테이너부두,외국선,공컨,0,1432,1542,106,3080,4754.5
2024,02,1,신항,외항,수입,8,신항3부두,컨테이너부두,외국선,공컨,0,5952,12273,33,18258,30572.25
2024,06,2,신항,외항,수출환적,8,신항3부두,컨테이너부두,외국선,공컨,0,124,1964,0,2088,4052
2024,06,2,신항,외항,수입환적,8,신항3부두,컨테이너부두,외국선,공컨,0,112,532,64,708,1320
2024,06,2,신항,외항,수출,8,신항3부두,컨테이너부두,외국선,공컨,0,562,2495,50,3107,5664.5
2024,06,2,신항,외항,수입,8,신항3부두,컨테이너부두,외국선,공컨,0,4019,6587,1,10607,17195.25
2024,07,3,신항,외항,수출환적,8,신항3부두,컨테이너부두,외국선,공컨,0,636,2206,95,2937,5261.75
2024,11,4,신항,외항,수출환적,8,신항3부두,컨테이너부두,외국선,공컨,0,36,2812,224,3072,6164
2024,11,4,신항,외항,수입환적,8,신항3부두,컨테이너부두,외국선,공컨,0,108,2785,110,3003,5925.5
2024,11,4,신항,외항,수출,8,신항3부두,컨테이너부두,외국선,공컨,0,854,2122,41,3017,5190.25
2024,11,4,신항,외항,수입,8,신항3부두,컨테이너부두,외국선,공컨,0,2411,7966,10,10387,18365.5
2024,07,3,신항,외항,수입환적,8,신항3부두,컨테이너부두,외국선,공컨,0,635,1871,45,2551,4478.25
2024,07,3,신항,외항,수출,8,신항3부두,컨테이너부두,외국선,공컨,0,1764,2315,102,4181,6623.5
2024,07,3,신항,외항,수입,8,신항3부두,컨테이너부두,외국선,공컨,0,4404,6733,5,11142,17881.25
2024,05,2,신항,외항,수출환적,8,신항3부두,컨테이너부두,외국선,공컨,0,130,2259,142,2531,4967.5
2024,05,2,신항,외항,수입환적,8,신항3부두,컨테이너부두,외국선,공컨,0,1,1461,116,1578,3184
2024,05,2,신항,외항,수출,8,신항3부두,컨테이너부두,외국선,공컨,0,779,2682,20,3481,6188
2024,05,2,신항,외항,수입,8,신항3부두,컨테이너부두,외국선,공컨,0,3970,9161,61,13192,22429.25
2024,12,4,신항,외항,수출환적,8,신항3부두,컨테이너부두,외국선,공컨,0,208,1406,10,1624,3042.5
2024,12,4,신항,외항,수입환적,8,신항3부두,컨테이너부두,외국선,공컨,0,393,1029,127,1549,2736.75
2024,09,3,신항,외항,수출환적,8,신항3부두,컨테이너부두,외국선,공컨,0,191,689,24,904,1623
2024,09,3,신항,외항,수입환적,8,신항3부두,컨테이너부두,외국선,공컨,0,415,1674,115,2204,4021.75
2024,09,3,신항,외항,수출,8,신항3부두,컨테이너부두,외국선,공컨,0,1011,2850,0,3861,6711
2024,09,3,신항,외항,수입,8,신항3부두,컨테이너부두,외국선,공컨,0,3928,6753,21,10702,17481.25
2024,12,4,신항,외항,수출,8,신항3부두,컨테이너부두,외국선,공컨,0,1109,1145,21,2275,3446.25
2024,12,4,신항,외항,수입,8,신항3부두,컨테이너부두,외국선,공컨,0,3978,8216,22,12216,20459.5
2024,01,1,신항,외항,수출환적,8,신항3부두,컨테이너부두,외국선,공컨,0,2468,2381,1,4850,7232.25
2024,01,1,신항,외항,수입환적,8,신항3부두,컨테이너부두,외국선,공컨,0,851,1659,23,2533,4220.75
2024,01,1,신항,외항,수출,8,신항3부두,컨테이너부두,외국선,공컨,0,1744,3459,3,5206,8668.75
2024,01,1,신항,외항,수입,8,신항3부두,컨테이너부두,외국선,공컨,0,3684,4737,54,8475,13279.5
2024,03,1,신항,외항,수출환적,8,신항3부두,컨테이너부두,외국선,적컨,0,11476,21358,46,32880,54295.5
2024,03,1,신항,외항,수입환적,8,신항3부두,컨테이너부두,외국선,적컨,0,11906,25284,59,37249,62606.75
2024,03,1,신항,외항,수출,8,신항3부두,컨테이너부두,외국선,적컨,0,9544,13051,39,22634,35733.75
2024,03,1,신항,외항,수입,8,신항3부두,컨테이너부두,외국선,적컨,0,6816,12300,23,19139,31467.75
2024,04,2,신항,외항,수출환적,8,신항3부두,컨테이너부두,외국선,적컨,0,11026,20506,65,31597,52184.25
2024,04,2,신항,외항,수입환적,8,신항3부두,컨테이너부두,외국선,적컨,0,11655,22632,80,34367,57099
2024,04,2,신항,외항,수출,8,신항3부두,컨테이너부두,외국선,적컨,0,9139,11604,6,20749,32360.5
2024,04,2,신항,외항,수입,8,신항3부두,컨테이너부두,외국선,적컨,0,6165,11407,7,17579,28994.75
2024,08,3,신항,외항,수출환적,8,신항3부두,컨테이너부두,외국선,적컨,0,10804,23375,82,34261,57738.5
2024,08,3,신항,외항,수입환적,8,신항3부두,컨테이너부두,외국선,적컨,0,9826,23624,101,33551,57301.25
2024,08,3,신항,외항,수출,8,신항3부두,컨테이너부두,외국선,적컨,0,7668,12269,12,19949,32233
2024,08,3,신항,외항,수입,8,신항3부두,컨테이너부두,외국선,적컨,0,5841,9150,19,15010,24183.75
2024,10,4,신항,외항,수출환적,8,신항3부두,컨테이너부두,외국선,적컨,0,10863,25319,123,36305,61777.75
2024,10,4,신항,외항,수입환적,8,신항3부두,컨테이너부두,외국선,적컨,0,10225,23092,73,33390,56573.25
2024,10,4,신항,외항,수출,8,신항3부두,컨테이너부두,외국선,적컨,0,8213,12502,11,20726,33241.75
2024,10,4,신항,외항,수입,8,신항3부두,컨테이너부두,외국선,적컨,0,6326,10004,14,16344,26365.5
2024,02,1,신항,외항,수출환적,8,신항3부두,컨테이너부두,외국선,적컨,0,9716,20061,98,29875,50058.5
2024,02,1,신항,외항,수입환적,8,신항3부두,컨테이너부두,외국선,적컨,0,7649,19125,67,26841,46049.75
2024,02,1,신항,외항,수출,8,신항3부두,컨테이너부두,외국선,적컨,0,7871,10249,3,18123,28375.75
2024,02,1,신항,외항,수입,8,신항3부두,컨테이너부두,외국선,적컨,0,4277,9103,15,13395,22516.75
2024,05,2,북항,외항,수출환적,8,자성대 부두,컨테이너부두,외국선,적컨,0,5465,5468,0,10933,16401
2024,09,3,북항,외항,수입환적,8,자성대 부두,컨테이너부두,외국선,적컨,0,3811,2529,0,6340,8869
2024,09,3,북항,외항,수출,8,자성대 부두,컨테이너부두,외국선,적컨,0,4058,2967,2,7027,9996.5
2024,09,3,북항,외항,수입,8,자성대 부두,컨테이너부두,외국선,적컨,0,4351,3767,0,8118,11885
2024,09,3,북항,외항,수출환적,8,자성대 부두,컨테이너부두,외국선,적컨,0,2953,2953,0,5906,8859
2024,12,4,북항,외항,수출환적,8,자성대 부두,컨테이너부두,외국선,적컨,0,365,462,0,827,1289
2024,12,4,북항,외항,수입환적,8,자성대 부두,컨테이너부두,외국선,적컨,0,756,526,0,1282,1808
2024,12,4,북항,외항,수출,8,자성대 부두,컨테이너부두,외국선,적컨,0,1007,775,0,1782,2557
2024,12,4,북항,외항,수입,8,자성대 부두,컨테이너부두,외국선,적컨,0,1915,1630,0,3545,5175
2024,01,1,북항,외항,수출환적,8,자성대 부두,컨테이너부두,외국선,적컨,0,7656,5798,0,13454,19252
2024,01,1,북항,외항,수입환적,8,자성대 부두,컨테이너부두,외국선,적컨,0,8462,6867,0,15329,22196
2024,01,1,북항,외항,수출,8,자성대 부두,컨테이너부두,외국선,적컨,0,8024,5837,5,13866,19709.25
2024,01,1,북항,외항,수입,8,자성대 부두,컨테이너부두,외국선,적컨,0,5299,6275,4,11578,17858
2024,05,2,북항,외항,수입환적,8,자성대 부두,컨테이너부두,외국선,적컨,0,8677,6149,0,14826,20975
2024,05,2,북항,외항,수출,8,자성대 부두,컨테이너부두,외국선,적컨,0,7150,5072,14,12236,17325.5
2024,05,2,북항,외항,수입,8,자성대 부두,컨테이너부두,외국선,적컨,0,8310,8175,1,16486,24662.25
2024,03,1,북항,외항,수출환적,8,자성대 부두,컨테이너부두,아국선,공컨,0,16,28,0,44,72
2024,03,1,북항,외항,수입환적,8,자성대 부두,컨테이너부두,아국선,공컨,0,237,81,0,318,399
2024,04,2,북항,외항,수출환적,8,자성대 부두,컨테이너부두,아국선,공컨,0,17,6,0,23,29
2024,04,2,북항,외항,수입환적,8,자성대 부두,컨테이너부두,아국선,공컨,0,76,47,0,123,170
2024,04,2,북항,외항,수출,8,자성대 부두,컨테이너부두,아국선,공컨,0,750,1977,35,2762,4782.75
2024,04,2,북항,외항,수입,8,자성대 부두,컨테이너부두,아국선,공컨,0,2698,1118,30,3846,5001.5
2024,03,1,북항,외항,수출,8,자성대 부두,컨테이너부두,아국선,공컨,0,432,1515,35,1982,3540.75
2024,03,1,북항,외항,수입,8,자성대 부두,컨테이너부두,아국선,공컨,0,2499,1019,55,3573,4660.75
2024,08,3,북항,외항,수출환적,8,자성대 부두,컨테이너부두,아국선,공컨,0,16,70,0,86,156
2024,08,3,북항,외항,수입환적,8,자성대 부두,컨테이너부두,아국선,공컨,0,365,84,0,449,533
2024,08,3,북항,외항,수출,8,자성대 부두,컨테이너부두,아국선,공컨,0,2267,1765,42,4074,5891.5
2024,08,3,북항,외항,수입,8,자성대 부두,컨테이너부두,아국선,공컨,0,1519,741,12,2272,3028
2024,10,4,북항,외항,수출환적,8,자성대 부두,컨테이너부두,아국선,공컨,0,3,12,0,15,27
2024,10,4,북항,외항,수입환적,8,자성대 부두,컨테이너부두,아국선,공컨,0,57,8,0,65,73
2024,10,4,북항,외항,수출,8,자성대 부두,컨테이너부두,아국선,공컨,0,414,264,0,678,942
